"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,1.14625912729601,0.982,0.889,0,"0","JUNB"
"2",0,1.11302266819135,1,0.984,0,"0","RPL30"
"3",0,1.09859277255442,0.938,0.515,0,"0","LTB"
"4",0,1.04523972633038,1,0.994,0,"0","RPLP2"
"5",0,1.0447626597055,1,0.995,0,"0","RPS12"
"6",0,1.02235604372985,0.999,0.971,0,"0","TPT1"
"7",0,1.00498413052477,0.929,0.702,0,"0","SARAF"
"8",0,0.9908108966945,0.584,0.209,0,"0","IL7R"
"9",0,0.974292659025318,0.834,0.393,0,"0","TRAC"
"10",0,0.973781063721208,0.662,0.35,0,"0","LEPROTL1"
"11",0,0.972840849159738,1,0.979,0,"0","RPL9"
"12",0,0.96484389029221,0.999,0.952,0,"0","RPL38"
"13",0,0.958362630734571,1,0.987,0,"0","RPS25"
"14",0,0.936556246191615,0.672,0.346,0,"0","TNFAIP3"
"15",0,0.932894534327904,0.614,0.348,0,"0","NOSIP"
"16",0,0.931551459916406,0.99,0.883,0,"0","RPS10"
"17",0,0.930449197052141,0.999,0.963,0,"0","RPL37"
"18",0,0.924514556613582,0.785,0.337,0,"0","CD3E"
"19",0,0.923585221949014,0.523,0.321,0,"0","RPS4Y1"
"20",0,0.918636266514356,0.997,0.923,0,"0","RPSA"
"21",0,4.38993563251052,0.763,0.282,0,"1","GNLY"
"22",0,4.25570640948952,0.948,0.271,0,"1","NKG7"
"23",0,4.05922305432655,0.957,0.193,0,"1","CCL5"
"24",0,3.15258348807859,0.573,0.127,0,"1","CCL4"
"25",0,3.01495750408925,0.831,0.093,0,"1","GZMA"
"26",0,2.91427238499574,0.598,0.054,0,"1","GZMH"
"27",0,2.85829565763264,0.561,0.141,0,"1","CMC1"
"28",0,2.83169327972738,0.792,0.105,0,"1","CST7"
"29",0,2.68609468533721,0.505,0.045,0,"1","FGFBP2"
"30",0,2.57693293003142,0.518,0.075,0,"1","GZMB"
"31",0,2.48605240226443,0.739,0.175,0,"1","CTSW"
"32",0,2.3659500730829,0.557,0.17,0,"1","KLRB1"
"33",0,2.31976946214308,0.536,0.036,0,"1","KLRD1"
"34",0,2.09902685075518,0.56,0.089,0,"1","HOPX"
"35",0,2.0790635756252,0.418,0.036,0,"1","PRF1"
"36",0,1.99404096163324,0.367,0.054,0,"1","GZMK"
"37",0,1.95154644519923,0.306,0.029,0,"1","TRDC"
"38",0,1.72241342273586,0.299,0.04,0,"1","SPON2"
"39",0,1.71568752963855,0.313,0.022,0,"1","KLRF1"
