"","cluster","type","scores","ncells"
"Erythroid-like and erythroid precursor cells","11","Erythroid-like and erythroid precursor cells",2885.69050364,2036
"Eosinophils","11","Eosinophils",-96.3563639228892,2036
"Natural killer  cells","11","Natural killer  cells",-113.924548009946,2036
"Naive CD4+ T cells","11","Naive CD4+ T cells",-397.777194963839,2036
"Platelets","11","Platelets",-429.524165001522,2036
"Naive CD8+ T cells","11","Naive CD8+ T cells",-511.16624412003,2036
"Basophils","11","Basophils",-564.240752452351,2036
"Endothelial","11","Endothelial",-643.828808802829,2036
"Mast cells","11","Mast cells",-725.393702401368,2036
"Neutrophils","11","Neutrophils",-765.41785864285,2036
"Non-classical monocytes","13","Non-classical monocytes",8769.14800576094,1537
"Macrophages","13","Macrophages",5946.38033126875,1537
"Intermediate monocytes","13","Intermediate monocytes",3669.59593741396,1537
"Myeloid Dendritic cells","13","Myeloid Dendritic cells",3402.76004593773,1537
"Granulocytes","13","Granulocytes",3080.1699894142,1537
"Plasmacytoid Dendritic cells","13","Plasmacytoid Dendritic cells",2969.7649823981,1537
"Neutrophils1","13","Neutrophils",1736.75105067889,1537
"Platelets1","13","Platelets",1228.68600956448,1537
"ISG expressing immune cells","13","ISG expressing immune cells",1146.79258539977,1537
"Endothelial1","13","Endothelial",1120.33413313494,1537
"Memory CD4+ T cells","1","Memory CD4+ T cells",5842.30365969639,7171
"Effector CD4+ T cells","1","Effector CD4+ T cells",5363.04615200337,7171
"Memory CD8+ T cells","1","Memory CD8+ T cells",5044.43372111506,7171
"γδ-T cells","1","γδ-T cells",4579.44328413558,7171
"Effector CD8+ T cells","1","Effector CD8+ T cells",4560.58056346127,7171
"Naive CD4+ T cells1","1","Naive CD4+ T cells",3363.57326759009,7171
"Naive CD8+ T cells1","1","Naive CD8+ T cells",2546.8811560677,7171
"CD4+ NKT-like cells","1","CD4+ NKT-like cells",1630.43788156024,7171
"Megakaryocyte","1","Megakaryocyte",1464.70597558165,7171
"CD8+ NKT-like cells","1",CD8+ NKT-like cells,1035.83392325595,7171
"Classical Monocytes","3","Classical Monocytes",29659.4117541113,6454
"Non-classical monocytes1","3","Non-classical monocytes",20223.362815927,6454
"Intermediate monocytes1","3","Intermediate monocytes",17967.260146777,6454
"Macrophages1","3","Macrophages",15949.8309748239,6454
"Neutrophils2","3","Neutrophils",15731.5527764293,6454
"Granulocytes1","3","Granulocytes",14967.3330839929,6454
"Immature B cells","3","Immature B cells",9216.57963466541,6454
"Myeloid Dendritic cells1","3","Myeloid Dendritic cells",7772.13292209624,6454
"Plasmacytoid Dendritic cells1","3","Plasmacytoid Dendritic cells",6468.51679369756,6454
"HSC/MPP cells","3","HSC/MPP cells",3827.05136009454,6454
"Progenitor cells","12","Progenitor cells",6787.16150937724,1650
"HSC/MPP cells1","12","HSC/MPP cells",4914.48349861702,1650
"Basophils1","12","Basophils",2472.91934765771,1650
"Endothelial2","12","Endothelial",2453.80516722415,1650
"Mast cells1","12","Mast cells",1283.89300345383,1650
"Platelets2","12","Platelets",1141.71672845271,1650
"Pre-B cells","12","Pre-B cells",669.546813785796,1650
"Pro-B cells","12","Pro-B cells",464.861006738563,1650
"Naive B cells","12","Naive B cells",463.620666265404,1650
"Myeloid Dendritic cells2","12","Myeloid Dendritic cells",422.35309320916,1650
"CD8+ NKT-like cells1","2","CD8+ NKT-like cells",14781.6568718554,7170
"CD4+ NKT-like cells1","2","CD4+ NKT-like cells",12062.1300384902,7170
"Effector CD8+ T cells1","2","Effector CD8+ T cells",10163.2081237216,7170
"γδ-T cells1","2","γδ-T cells",6774.18628780241,7170
"Naive CD8+ T cells2","2","Naive CD8+ T cells",6688.31885612139,7170
"Memory CD8+ T cells1","2","Memory CD8+ T cells",6335.70462563956,7170
"Effector CD4+ T cells1","2","Effector CD4+ T cells",6080.03683160132,7170
"Natural killer  cells1","2","Natural killer  cells",5869.08268472285,7170
"Naive CD4+ T cells2","2","Naive CD4+ T cells",2511.16271975174,7170
"Memory CD4+ T cells1","2","Memory CD4+ T cells",2375.49819434933,7170
"Naive CD4+ T cells3","0","Naive CD4+ T cells",7842.64865883329,13649
"Naive CD8+ T cells3","0","Naive CD8+ T cells",7172.65762396532,13649
"Memory CD4+ T cells2","0","Memory CD4+ T cells",5688.84875452005,13649
"Memory CD8+ T cells2","0","Memory CD8+ T cells",5120.32638292724,13649
"Effector CD4+ T cells2","0","Effector CD4+ T cells",2571.75661576077,13649
"Megakaryocyte1","0","Megakaryocyte",1968.86047203347,13649
"Effector CD8+ T cells2","0","Effector CD8+ T cells",1922.40780202937,13649
"γδ-T cells2","0","γδ-T cells",1506.19478101015,13649
"CD4+ NKT-like cells2","0","CD4+ NKT-like cells",-1471.50533101265,13649
"CD8+ NKT-like cells2","0","CD8+ NKT-like cells",-2286.06350006658,13649
"Erythroid-like and erythroid precursor cells1","8","Erythroid-like and erythroid precursor cells",12441.3066716757,3006
"Eosinophils1","8","Eosinophils",1078.03552992091,3006
"HSC/MPP cells2","8","HSC/MPP cells",401.917954092605,3006
"Natural killer  cells2","8","Natural killer  cells",-130.379266405162,3006
"Platelets3","8","Platelets",-606.827563825976,3006
"Mast cells2","8","Mast cells",-696.061824992498,3006
"Basophils2","8","Basophils",-789.031318744984,3006
"Endothelial3","8","Endothelial",-809.192934947091,3006
"ISG expressing immune cells1","8","ISG expressing immune cells",-1024.71898049457,3006
"Macrophages2","8","Macrophages",-1086.16100763626,3006
"Pro-B cells1","17","Pro-B cells",10098.2594569949,1037
"Pre-B cells1","17","Pre-B cells",6459.67147094082,1037
"Naive B cells1","17","Naive B cells",5803.10876928073,1037
"Immature B cells1","17","Immature B cells",5469.56806036939,1037
"Memory B cells","17","Memory B cells",5269.0169317766,1037
"Plasma B cells","17","Plasma B cells",4909.11454247636,1037
"Progenitor cells1","17","Progenitor cells",1203.98637561518,1037
"HSC/MPP cells3","17","HSC/MPP cells",618.858334596785,1037
"Granulocytes2","17","Granulocytes",560.833025462693,1037
"Neutrophils3","17","Neutrophils",311.268059406677,1037
"Plasmacytoid Dendritic cells2","21","Plasmacytoid Dendritic cells",5588.86517671047,704
"Myeloid Dendritic cells3","21","Myeloid Dendritic cells",2172.44350957963,704
"Naive B cells2","21","Naive B cells",1929.790965427,704
"Plasma B cells1","21","Plasma B cells",1735.02465277899,704
"Memory B cells1","21","Memory B cells",1617.81187681836,704
"Non-classical monocytes2","21","Non-classical monocytes",783.222315216722,704
"Intermediate monocytes2","21","Intermediate monocytes",603.249934961716,704
"Basophils3","21","Basophils",585.574644418967,704
"Classical Monocytes1","21","Classical Monocytes",585.029553918792,704
"Eosinophils2","21","Eosinophils",541.436648033935,704
"Pro-B cells2","24","Pro-B cells",4752.28370843202,598
"Pre-B cells2","24","Pre-B cells",3003.97136742187,598
"Naive B cells3","24","Naive B cells",2288.88594871841,598
"Immature B cells2","24","Immature B cells",2107.32000371557,598
"Memory B cells2","24","Memory B cells",2066.2263259006,598
"Plasma B cells2","24","Plasma B cells",1907.14865740308,598
"Progenitor cells2","24","Progenitor cells",633.051403894671,598
"HSC/MPP cells4","24","HSC/MPP cells",313.301217081443,598
"Plasmacytoid Dendritic cells3","24","Plasmacytoid Dendritic cells",276.239454059658,598
"Granulocytes3","24","Granulocytes",249.079666321273,598
"Naive B cells4","6","Naive B cells",16008.056248344,4504
"Immature B cells3","6","Immature B cells",15732.4659749514,4504
"Memory B cells3","6","Memory B cells",15190.3992260166,4504
"Pre-B cells3","6","Pre-B cells",14422.1110988878,4504
"Pro-B cells3","6","Pro-B cells",11046.5252478465,4504
"Myeloid Dendritic cells4","6","Myeloid Dendritic cells",7344.65380370445,4504
"Plasmacytoid Dendritic cells4","6","Plasmacytoid Dendritic cells",6172.16599599839,4504
"Plasma B cells3","6","Plasma B cells",2811.41735925961,4504
"Natural killer  cells3","6","Natural killer  cells",1058.53706105483,4504
"Mast cells3","6","Mast cells",776.825927145358,4504
"Neutrophils4","15","Neutrophils",6372.67385789029,1236
"Granulocytes4","15","Granulocytes",4419.4611408139,1236
"Basophils4","15","Basophils",2283.24909718545,1236
"Classical Monocytes2","15","Classical Monocytes",1879.46206727845,1236
"Progenitor cells3","15","Progenitor cells",942.809837562745,1236
"Non-classical monocytes3","15","Non-classical monocytes",941.820744826822,1236
"Intermediate monocytes3","15","Intermediate monocytes",783.282220450028,1236
"Eosinophils3","15","Eosinophils",611.531005260828,1236
"Naive B cells5","15","Naive B cells",382.578856052616,1236
"Immature B cells4","15","Immature B cells",375.577557420177,1236
"Erythroid-like and erythroid precursor cells2","10","Erythroid-like and erythroid precursor cells",5849.20801437865,2107
"HSC/MPP cells5","10","HSC/MPP cells",3482.46661343192,2107
"Progenitor cells4","10","Progenitor cells",2732.60969549707,2107
"Eosinophils4","10","Eosinophils",1210.67154183583,2107
"Endothelial4","10","Endothelial",414.738650615588,2107
"Basophils5","10","Basophils",198.94200626172,2107
"Naive B cells6","10","Naive B cells",23.1642279360785,2107
"Mast cells4","10","Mast cells",-128.715223854275,2107
"Natural killer  cells4","10","Natural killer  cells",-163.99828669071,2107
"Platelets4","10","Platelets",-185.060565087101,2107
"Erythroid-like and erythroid precursor cells3","9","Erythroid-like and erythroid precursor cells",8911.97250239573,2866
"ISG expressing immune cells2","9","ISG expressing immune cells",563.980825702837,2866
