"","cluster","type","scores","ncells"
"Erythroid","11","Erythroid",573.906444792808,2036
"B-Nai","11","B-Nai",74.3074012784021,2036
"B-Mem","11","B-Mem",-39.5480086279207,2036
"Plasma","11","Plasma",-140.875285548575,2036
"pDC","11","pDC",-157.406123500131,2036
"GC B-I","11","GC B-I",-193.49723626245,2036
"Mon-nonCls","11","Mon-nonCls",-314.158377734218,2036
"Mac-Alv","11","Mac-Alv",-404.03501474184,2036
"Cycling","11","Cycling",-457.636556047088,2036
"T-Nai;CM-CD8","11","T-Nai;CM-CD8",-518.406172262913,2036
"ILC3","13","ILC3",1726.40396969146,1537
"T-CD4;CD8","13","T-CD4;CD8",1177.17887203891,1537
"T-FH","13","T-FH",394.115028040147,1537
"T-EM;EMRA-CD8","13","T-EM;EMRA-CD8",365.275970799897,1537
"NK-CD16+","13","NK-CD16+",207.419171681095,1537
"T-Nai;CM-CD4-Act","13","T-Nai;CM-CD4-Act",206.406135877292,1537
"T-Eff;EM-CD4","13","T-Eff;EM-CD4",165.191154412827,1537
"Mon-Cls","13","Mon-Cls",26.6875424021448,1537
"DC2","13","DC2",24.8591657734565,1537
"T-Nai;CM-CD4","13","T-Nai;CM-CD4",-37.6246673738818,1537
"Mon-Cls1","1","Mon-Cls",10604.8500624702,7171
"T-Nai;CM-CD41","1","T-Nai;CM-CD4",9440.32976218674,7171
"NK-CD16+1","1","NK-CD16+",7061.95156544546,7171
"T-EM;EMRA-CD81","1","T-EM;EMRA-CD8",6824.85935189724,7171
"Progenitor","1","Progenitor",5267.49395809067,7171
"T-RM;EM-CD8","1","T-RM;EM-CD8",-523.783132814269,7171
"GC B-I1","1","GC B-I",-587.972531877454,7171
"pDC1","1","pDC",-671.879378971473,7171
"DC21","1","DC2",-917.539080265997,7171
"Plasma1","1","Plasma",-1415.97507438054,7171
"ILC31","3","ILC3",2628.79058645616,6454
"T-EM;EMRA-CD82","3","T-EM;EMRA-CD8",1656.19295469067,6454
"T-CD4;CD81","3","T-CD4;CD8",1161.76399905934,6454
"NK-CD16+2","3","NK-CD16+",753.999785196485,6454
"T-FH1","3","T-FH",714.62961461125,6454
"T-Nai;CM-CD4-Act1","3","T-Nai;CM-CD4-Act",483.010567400613,6454
"T-Nai;CM-CD42","3","T-Nai;CM-CD4",-123.274095694593,6454
"Mon-Cls2","3","Mon-Cls",-418.576795942952,6454
"T-RM;EM-CD81","3","T-RM;EM-CD8",-451.199882685079,6454
"GC B-I2","3","GC B-I",-456.86894564758,6454
"T-Nai;CM-CD43","12","T-Nai;CM-CD4",6320.35848380328,1650
"T-Reg","12","T-Reg",6275.41995484835,1650
"NK-CD16+3","12","NK-CD16+",5948.18430618147,1650
"T-EM;EMRA-CD83","12","T-EM;EMRA-CD8",5471.64139116793,1650
"Pre-B","12","Pre-B",3230.32034947286,1650
"T-RM;EM-CD82","12","T-RM;EM-CD8",2947.78118065658,1650
"Pro-B","12","Pro-B",2731.54871011398,1650
"Mon-Cls3","12","Mon-Cls",2722.93914708148,1650
"T-CD4;CD82","12","T-CD4;CD8",2263.26981016048,1650
"T-FH2","12","T-FH",2135.45345448486,1650
"Mon-Cls4","2","Mon-Cls",7345.90205710399,7170
"T-Nai;CM-CD44","2","T-Nai;CM-CD4",6083.17077265912,7170
"T-EM;EMRA-CD84","2","T-EM;EMRA-CD8",4547.26584657309,7170
"NK-CD16+4","2","NK-CD16+",4094.58591249037,7170
"Progenitor1","2","Progenitor",2406.52450643146,7170
"GC B-I3","2","GC B-I",-623.449969866437,7170
"pDC2","2","pDC",-718.458999948193,7170
"Plasma2","2","Plasma",-1507.09478260155,7170
"DC22","2","DC2",-1654.63390057179,7170
"Tgd-CRTAM+","2","Tgd-CRTAM+",-1737.02961166107,7170
"Mon-Cls5","0","Mon-Cls",20912.463867659,13649
"T-Nai;CM-CD45","0","T-Nai;CM-CD4",18425.1222318542,13649
"NK-CD16+5","0","NK-CD16+",13627.3218359234,13649
"Progenitor2","0","Progenitor",12064.0702244336,13649
"T-EM;EMRA-CD85","0","T-EM;EMRA-CD8",10288.9779180355,13649
"GC B-I4","0","GC B-I",-1241.22077435422,13649
"pDC3","0","pDC",-1331.53261355213,13649
"Plasma3","0","Plasma",-2821.3233980336,13649
"Tgd-CRTAM+1","0","Tgd-CRTAM+",-3521.39211305198,13649
"Erythroid1","0","Erythroid",-3590.7889850628,13649
"T-FH3","8","T-FH",7991.40003075261,3006
"Mon-nonCls1","8","Mon-nonCls",3166.84488590065,3006
"B-Nai1","8","B-Nai",2678.08406553857,3006
"T-Nai;CM-CD81","8","T-Nai;CM-CD8",2645.97383060088,3006
"T&NK-Cyc","8","T&NK-Cyc",2324.57663843865,3006
"Mac-Ery","8","Mac-Ery",2098.87509489448,3006
"T-Nai;CM-CD4-Act2","8","T-Nai;CM-CD4-Act",1947.46027190283,3006
"ILC32","8","ILC3",1840.69754661313,3006
"Pre-B1","8","Pre-B",1672.9933321962,3006
"Pro-B1","8","Pro-B",1212.63564299994,3006
"T-FH4","17","T-FH",4811.01823226958,1037
"NK-CD16+6","17","NK-CD16+",1932.16829479771,1037
"T-Nai;CM-CD4-Act3","17","T-Nai;CM-CD4-Act",1767.40514255719,1037
"T-CD4;CD83","17","T-CD4;CD8",1672.78628347974,1037
"T&NK-Cyc1","17","T&NK-Cyc",1668.02131783345,1037
"T-RM;EM-CD83","17","T-RM;EM-CD8",1657.68654222225,1037
"T-Nai;CM-CD46","17","T-Nai;CM-CD4",1448.08165123137,1037
"Mac-IntMed","17","Mac-IntMed",1279.60335955277,1037
"T-Reg1","17","T-Reg",1205.33304562733,1037
"T-EM;EMRA-CD86","17","T-EM;EMRA-CD8",1193.74589594417,1037
"T-Reg2","21","T-Reg",6184.22285987271,704
"T-Nai;CM-CD82","21","T-Nai;CM-CD8",1128.65792347807,704
"Mac-Int","21","Mac-Int",1055.97353923274,704
"Mon-nonCls2","21","Mon-nonCls",592.734605578936,704
"NK-CD16+7","21","NK-CD16+",508.738488080014,704
"T-EM;EMRA-CD87","21","T-EM;EMRA-CD8",466.008234358777,704
"T-FH5","21","T-FH",380.456285578123,704
"Mon-Cls6","21","Mon-Cls",371.216843955089,704
"Plasmablasts","21","Plasmablasts",344.52352986223,704
"T-Nai;CM-CD47","21","T-Nai;CM-CD4",342.948167818618,704
"NK-CD16+8","24","NK-CD16+",816.061995789099,598
"T-Reg3","24","T-Reg",686.380582302966,598
"T-CD4;CD84","24","T-CD4;CD8",530.060310524689,598
"T-Nai;CM-CD48","24","T-Nai;CM-CD4",477.752495177549,598
"T-EM;EMRA-CD88","24","T-EM;EMRA-CD8",376.112554911081,598
"Mac-Alv1","24","Mac-Alv",357.556931055968,598
"Mac-Int1","24","Mac-Int",355.426588727162,598
"Mon-Cls7","24","Mon-Cls",304.845513007055,598
"Mac-IntMed1","24","Mac-IntMed",295.679317442835,598
"T-RM;EM-CD84","24","T-RM;EM-CD8",237.807026723811,598
"Mon-Cls8","6","Mon-Cls",4179.22792241106,4504
"Mac-Alv2","6","Mac-Alv",4045.37896031836,4504
"T-Nai;CM-CD49","6","T-Nai;CM-CD4",3591.3935684752,4504
"MAST","6","MAST",3167.49424988838,4504
"Mac-IntMed2","6","Mac-IntMed",2962.87804113543,4504
"Mac-Int2","6","Mac-Int",2634.35026301701,4504
"NK-CD16+9","6","NK-CD16+",2549.88796010354,4504
"T-EM;EMRA-CD89","6","T-EM;EMRA-CD8",2192.21635248953,4504
"Megakaryocytes","6","Megakaryocytes",1999.74616060465,4504
"Progenitor3","6","Progenitor",1930.73000227262,4504
"T-FH6","15","T-FH",1836.40823331644,1236
"T-Nai;CM-CD410","15","T-Nai;CM-CD4",1687.37462168976,1236
"NK-CD16+10","15","NK-CD16+",1636.77049965192,1236
"T-EM;EMRA-CD810","15","T-EM;EMRA-CD8",1478.33314820313,1236
"Mon-Cls9","15","Mon-Cls",1145.90649285167,1236
"Pre-B2","15","Pre-B",1032.30649671144,1236
"T-RM;EM-CD85","15","T-RM;EM-CD8",748.950256078636,1236
"Pro-B2","15","Pro-B",628.135697499004,1236
"T-Nai;CM-CD4-Act4","15","T-Nai;CM-CD4-Act",495.018261215146,1236
"Progenitor4","15","Progenitor",394.906911826957,1236
"T-FH7","10","T-FH",7908.39744156212,2107
"T-RM;EM-CD86","10","T-RM;EM-CD8",5119.40535036806,2107
"T&NK-Cyc2","10","T&NK-Cyc",4880.35848971215,2107
"T-Nai;CM-CD83","10","T-Nai;CM-CD8",4388.9645489618,2107
"Pro-B3","10","Pro-B",4158.14080215764,2107
"B-Nai2","10","B-Nai",3929.58776291426,2107
"T-Nai;CM-CD4-Act5","10","T-Nai;CM-CD4-Act",3927.68626682551,2107
"Pre-B3","10","Pre-B",3731.00587381416,2107
"Mon-nonCls3","10","Mon-nonCls",3550.57745031872,2107
"T-CD4;CD85","10","T-CD4;CD8",3510.05315167729,2107
"Erythroid2","9","Erythroid",1300.40522440764,2866
"B-Nai3","9","B-Nai",1294.77551134787,2866
"Mon-nonCls4","9","Mon-nonCls",1165.32600118823,2866
"T-Nai;CM-CD84","9","T-Nai;CM-CD8",387.949372673934,2866
"Mac-Alv3","9","Mac-Alv",337.838338250598,2866
"B-Mem1","9","B-Mem",320.057941275376,2866
"Plasma4","9","Plasma",105.745982142171,2866
"pDC4","9","pDC",-97.8763941878677,2866
"Cycling1","9","Cycling",-179.758741279196,2866
"GC B-I5","9","GC B-I",-246.574507107874,2866
"T-FH8","14","T-FH",2086.41377665916,1308
"T-EM;EMRA-CD811","14","T-EM;EMRA-CD8",2074.56413175739,1308
"T-Reg4","14","T-Reg",1857.19276203236,1308
"NK-CD16+11","14","NK-CD16+",1681.876493327,1308
"Mac-Ery1","14","Mac-Ery",1645.49475752445,1308
"T-Nai;CM-CD411","14","T-Nai;CM-CD4",1577.31299566113,1308
"T-CD4;CD86","14","T-CD4;CD8",1407.97919668578,1308
"Mon-Cls10","14","Mon-Cls",1317.84395544545,1308
"T-RM;EM-CD87","14","T-RM;EM-CD8",1115.92584041497,1308
"Mon-nonCls5","14","Mon-nonCls",1024.98931177299,1308
"T&NK-Cyc3","19","T&NK-Cyc",999.270181084915,774
"T-Reg5","19","T-Reg",500.715160074373,774
"Mac-IntMed3","19","Mac-IntMed",457.618984830237,774
"Mac-Int3","19","Mac-Int",351.84891732001,774
"Mon-nonCls6","19","Mon-nonCls",307.326647898392,774
"MAST1","19","MAST",229.179622810898,774
"Mac-Alv4","19","Mac-Alv",228.182946172501,774
"Mac-Ery2","19","Mac-Ery",184.252384510226,774
"Megakaryocytes1","19","Megakaryocytes",170.839907946891,774
"ABC","19","ABC",144.325387695679,774
"T-EM;EMRA-CD812","22","T-EM;EMRA-CD8",2354.63189691574,641
"NK-CD16+12","22","NK-CD16+",2325.44808294345,641
"T-Nai;CM-CD412","22","T-Nai;CM-CD4",1869.66475723988,641
"T-FH9","22","T-FH",1659.17621954055,641
"T-Reg6","22","T-Reg",1564.60905486055,641
"T-RM;EM-CD88","22","T-RM;EM-CD8",1411.28872426948,641
"T&NK-Cyc4","22","T&NK-Cyc",1297.19601560821,641
"Pre-B4","22","Pre-B",1279.00880973289,641
"Pro-B4","22","Pro-B",1257.29249750879,641
"T-CD4;CD87","22","T-CD4;CD8",1221.69070447454,641
"T-FH10","26","T-FH",759.842841269868,262
"T-Nai;CM-CD4-Act6","26","T-Nai;CM-CD4-Act",241.0374271732,262
"T&NK-Cyc5","26","T&NK-Cyc",223.949701625016,262
"DC23","26","DC2",220.121545271871,262
"T-RM;EM-CD89","26","T-RM;EM-CD8",173.851937191238,262
"T-CD4;CD88","26","T-CD4;CD8",145.864353272503,262
"ILC33","26","ILC3",132.342368950007,262
"NK-CD56bright-CD16-","26","NK-CD56bright-CD16-",90.6253810751171,262
"Mac-Ery3","26","Mac-Ery",78.3861272622839,262
"Pro-B5","26","Pro-B",63.7886487837112,262
"DC24","4","DC2",-284.900331297534,4892
"GC B-I6","4","GC B-I",-421.61116208903,4892
"pDC5","4","pDC",-480.801675441328,4892
"NK-CD56bright-CD16-1","4","NK-CD56bright-CD16-",-792.210579400094,4892
"Plasma5","4","Plasma",-989.76803745627,4892
"Tgd-CRTAM+2","4","Tgd-CRTAM+",-1070.2711060506,4892
"Erythroid3","4","Erythroid",-1171.09627522548,4892
"Cycling2","4","Cycling",-1302.4807890219,4892
"B-Mem2","4","B-Mem",-1419.03596560343,4892
"Plasmablasts1","4","Plasmablasts",-1461.24365918733,4892
"T-FH11","20","T-FH",800.468735046407,763
"Mon-nonCls7","20","Mon-nonCls",690.905824804344,763
"ILC34","20","ILC3",552.016475011203,763
"B-Nai4","20","B-Nai",522.802827320585,763
"T-Nai;CM-CD85","20","T-Nai;CM-CD8",468.363754025949,763
"Mac-Ery4","20","Mac-Ery",449.642079227175,763
"Pre-B5","20","Pre-B",446.18189082411,763
"Erythroid4","20","Erythroid",343.832636178086,763
"T&NK-Cyc6","20","T&NK-Cyc",249.80966712577,763
"Pro-B6","20","Pro-B",177.781487269349,763
"Mon-Cls11","16","Mon-Cls",1953.73310352064,1223
"T-Nai;CM-CD413","16","T-Nai;CM-CD4",1704.78415729555,1223
"NK-CD16+13","16","NK-CD16+",1422.92657174278,1223
"T-EM;EMRA-CD813","16","T-EM;EMRA-CD8",1134.38123218077,1223
"Progenitor5","16","Progenitor",1116.13719381443,1223
"T-RM;EM-CD810","16","T-RM;EM-CD8",164.858777880941,1223
"DC25","16","DC2",-19.512778366606,1223
"Erythroid5","16","Erythroid",-38.4440124928551,1223
"GC B-I7","16","GC B-I",-87.0288232419846,1223
"pDC6","16","pDC",-105.257342384042,1223
"T-EM;EMRA-CD814","29","T-EM;EMRA-CD8",295.10788447534,131
"T&NK-Cyc7","29","T&NK-Cyc",278.300434197223,131
"NK-CD16+14","29","NK-CD16+",236.235449532223,131
"Mon-nonCls8","29","Mon-nonCls",187.585823044794,131
