"","cluster","type","scores","ncells"
"EPC","11","EPC",1741.32192091447,2036
"Myeolocyte","11","Myeolocyte",18.0604416574181,2036
"Stromal cell","11","Stromal cell",-29.4218445020938,2036
"Mk","11","Mk",-86.3159399266385,2036
"HSPC","11","HSPC",-254.881668617616,2036
"NK","11","NK",-467.034796802639,2036
"B cell","11","B cell",-484.408696627549,2036
"Monocyte","11","Monocyte",-730.286409052165,2036
"T cell","11","T cell",-1500.95926151034,2036
"NK1","13","NK",4440.98763080207,1537
"Monocyte1","13","Monocyte",980.757837649388,1537
"Mk1","13","Mk",139.555638510129,1537
"Stromal cell1","13","Stromal cell",-64.3730041428705,1537
"Myeolocyte1","13","Myeolocyte",-235.764879561276,1537
"HSPC1","13","HSPC",-251.780428879773,1537
"B cell1","13","B cell",-355.663501995566,1537
"EPC1","13","EPC",-724.920534147672,1537
"T cell1","13","T cell",-1190.60483678005,1537
"T cell2","1","T cell",5329.11874287153,7171
"Stromal cell2","1","Stromal cell",-254.768245026515,7171
"Mk2","1","Mk",-347.605479174916,7171
"Myeolocyte2","1","Myeolocyte",-1159.35364184215,7171
"HSPC2","1","HSPC",-1169.50228150116,7171
"NK2","1","NK",-1709.36256436044,7171
"B cell2","1","B cell",-1793.2985803035,7171
"Monocyte2","1","Monocyte",-3331.55613313961,7171
"EPC2","1","EPC",-3671.64235724044,7171
"Monocyte3","3","Monocyte",21516.8365705261,6454
"Mk3","3","Mk",140.614197622834,6454
"Stromal cell3","3","Stromal cell",-222.023052105148,6454
"Myeolocyte3","3","Myeolocyte",-561.541104321581,6454
"NK3","3","NK",-821.434057703802,6454
"HSPC3","3","HSPC",-1028.52746106006,6454
"B cell3","3","B cell",-1685.80157180883,6454
"EPC3","3","EPC",-3041.36010420304,6454
"T cell3","3","T cell",-4879.67463322897,6454
"HSPC4","12","HSPC",8916.23300908657,1650
"Myeolocyte4","12","Myeolocyte",845.495303027865,1650
"Mk4","12","Mk",22.0223691377054,1650
"Stromal cell4","12","Stromal cell",5.92772391947218,1650
"B cell4","12","B cell",-330.863933787456,1650
"NK4","12","NK",-372.935442024121,1650
"Monocyte4","12","Monocyte",-629.425552154956,1650
"EPC4","12","EPC",-641.593354852338,1650
"T cell4","12","T cell",-1338.24037258524,1650
"T cell5","2","T cell",5217.9731905922,7170
"NK5","2","NK",1001.57481329068,7170
"Stromal cell5","2","Stromal cell",-191.960260151394,7170
"Mk5","2","Mk",-217.934941145302,7170
"HSPC5","2","HSPC",-1198.79497547567,7170
"Myeolocyte5","2","Myeolocyte",-1456.4174017984,7170
"B cell5","2","B cell",-2088.34141081365,7170
"Monocyte5","2","Monocyte",-3299.65136926744,7170
"EPC5","2","EPC",-3726.47625651759,7170
"T cell6","0","T cell",7266.14615864796,13649
"Stromal cell6","0","Stromal cell",-343.524030986441,13649
"Mk6","0","Mk",-1033.86160514113,13649
"HSPC6","0","HSPC",-2209.62769150987,13649
"Myeolocyte6","0","Myeolocyte",-2654.20411525293,13649
"NK6","0","NK",-3292.42539146927,13649
"B cell6","0","B cell",-3393.71554463305,13649
"Monocyte6","0","Monocyte",-6780.33004688791,13649
"EPC6","0","EPC",-7009.54030911509,13649
"EPC7","8","EPC",10919.418952246,3006
"Stromal cell7","8","Stromal cell",-91.9501207953703,3006
"Mk7","8","Mk",-111.551527750369,3006
"Myeolocyte7","8","Myeolocyte",-141.148145610351,3006
"HSPC7","8","HSPC",-411.419103203885,3006
"NK7","8","NK",-644.621491762373,3006
"B cell7","8","B cell",-757.224128281351,3006
"Monocyte7","8","Monocyte",-1132.12586747758,3006
"T cell7","8","T cell",-2308.36363216185,3006
"B cell8","17","B cell",2232.04429458416,1037
"HSPC8","17","HSPC",118.128034021034,1037
"Mk8","17","Mk",-34.171879260869,1037
"Stromal cell8","17","Stromal cell",-56.0761652169131,1037
"Myeolocyte8","17","Myeolocyte",-142.910879240694,1037
"NK8","17","NK",-243.699055833542,1037
"EPC8","17","EPC",-442.795817118452,1037
"Monocyte8","17","Monocyte",-499.119133485867,1037
"T cell8","17","T cell",-875.664606075375,1037
"Mk9","21","Mk",100.511716604495,704
"Stromal cell9","21","Stromal cell",-18.0279874559216,704
"B cell9","21","B cell",-82.8240899059445,704
"Myeolocyte9","21","Myeolocyte",-98.3861765523602,704
"HSPC9","21","HSPC",-108.331186118328,704
"NK9","21","NK",-139.257110091081,704
"Monocyte9","21","Monocyte",-256.309995053731,704
"EPC9","21","EPC",-319.200639368463,704
"T cell9","21","T cell",-562.517973577374,704
"B cell10","24","B cell",1121.50979733502,598
"HSPC10","24","HSPC",350.47610202771,598
"Stromal cell10","24","Stromal cell",-17.7105190935765,598
"Mk10","24","Mk",-20.2148479293087,598
"Myeolocyte10","24","Myeolocyte",-43.7009164096471,598
"NK10","24","NK",-126.200425369247,598
"EPC10","24","EPC",-273.098163381303,598
"Monocyte10","24","Monocyte",-295.031817130903,598
"T cell10","24","T cell",-440.97468955613,598
"B cell11","6","B cell",12786.3372017783,4504
"Stromal cell11","6","Stromal cell",-258.372227634696,4504
"Mk11","6","Mk",-282.688166410746,4504
"HSPC11","6","HSPC",-736.629672524356,4504
"Myeolocyte11","6","Myeolocyte",-926.1922312722,4504
"NK11","6","NK",-950.498602871258,4504
"Monocyte11","6","Monocyte",-1996.27650012664,4504
"EPC11","6","EPC",-2195.02988883997,4504
"T cell11","6","T cell",-3401.95232874949,4504
