"","cluster","type","scores","ncells"
"1","8","Erythroid-like and erythroid precursor cells",4516.16898071339,2455
"2","10","Non-classical monocytes",10358.0164008351,1530
"3","0","Naive CD8+ T cells",7872.68054573931,21845
"4","3","Classical Monocytes",43177.6497699998,7051
"5","7","Progenitor cells",11307.5278831742,2485
"6","1","CD8+ NKT-like cells",35708.2770378851,11557
"7","1","Natural killer  cells",35708.2770378851,11557
"8","5","Erythroid-like and erythroid precursor cells",18924.6495659206,3773
"9","11","Pro-B cells",14431.5855097465,1434
"10","17","Plasmacytoid Dendritic cells",6429.31374552643,704
"11","4","Immature B cells",18612.8385394539,4829
"12","9","Erythroid-like and erythroid precursor cells",7122.07890924765,2114
"13","6","Erythroid-like and erythroid precursor cells",11323.0467983177,2860
"14","13","Neutrophils",7581.4042857172,1114
"15","12","Myeloid Dendritic cells",6952.33426434563,1323
"16","16","Plasma B cells",5322.28716251285,774
"17","18","CD8+ NKT-like cells",836.079925624319,263
"18","18","Natural killer  cells",836.079925624319,263
"19","14","Erythroid-like and erythroid precursor cells",382.94498277719,987
"20","2","Naive CD4+ T cells",3291.50807559994,8315
"21","21","Endothelial",135.763900068149,27
"22","19","Pre-B cells",313.688252020679,148
"23","20","Classical Monocytes",477.024858046482,132
"24","15","Erythroid-like and erythroid precursor cells",2138.88600904855,925
