"","cluster","type","scores","ncells"
"1","11","Erythroid",573.906444792808,2036
"2","13","ILC3",1726.40396969146,1537
"3","1","Mon-Cls",10604.8500624702,7171
"4","3","ILC3",2628.79058645616,6454
"5","12","T-Nai;CM-CD4",6320.35848380328,1650
"6","2","Mon-Cls",7345.90205710399,7170
"7","0","Mon-Cls",20912.463867659,13649
"8","8","T-FH",7991.40003075261,3006
"9","17","T-FH",4811.01823226958,1037
"10","21","T-Reg",6184.22285987271,704
"11","24","NK-CD16+",816.061995789099,598
"12","6","Mon-Cls",4179.22792241106,4504
"13","15","T-FH",1836.40823331644,1236
"14","10","T-FH",7908.39744156212,2107
"15","9","Erythroid",1300.40522440764,2866
"16","14","T-FH",2086.41377665916,1308
"17","19","T&NK-Cyc",999.270181084915,774
"18","22","T-EM;EMRA-CD8",2354.63189691574,641
"19","26","T-FH",759.842841269868,262
"20","4","Unknown",-284.900331297534,4892
"21","20","T-FH",800.468735046407,763
"22","16","Mon-Cls",1953.73310352064,1223
"23","29","T-EM;EMRA-CD8",295.10788447534,131
"24","7","Mon-Cls",2496.75731843172,3883
"25","25","Unknown",96.5936526247582,417
"26","5","Mon-Cls",1849.70942717494,4679
"27","30","Mac-Alv",114.616457227243,128
"28","27","Mac-Alv",84.74251005582,148
"29","28","Erythroid",44.5755025277629,132
"30","23","ILC3",447.490026329111,609
"31","18","Erythroid",316.261383957255,930
