"","cluster","type","scores","ncells"
"1","11","EPC",1741.32192091447,2036
"2","13","NK",4440.98763080207,1537
"3","1","T cell",5329.11874287153,7171
"4","3","Monocyte",21516.8365705261,6454
"5","12","HSPC",8916.23300908657,1650
"6","2","T cell",5217.9731905922,7170
"7","0","T cell",7266.14615864796,13649
"8","8","EPC",10919.418952246,3006
"9","17","B cell",2232.04429458416,1037
"10","21","Unknown",100.511716604495,704
"11","24","B cell",1121.50979733502,598
"12","6","B cell",12786.3372017783,4504
"13","15","Myeolocyte",9124.76768453885,1236
"14","10","EPC",5027.31601540503,2107
"15","9","EPC",8496.37726633558,2866
"16","14","Monocyte",1719.1651582696,1308
"17","19","B cell",872.186908320523,774
"18","22","HSPC",870.020199833775,641
"19","26","NK",271.16529781995,262
"20","4","NK",6534.75234310924,4892
"21","20","EPC",2843.16463195168,763
"22","16","T cell",871.975937733424,1223
"23","29","Mk",642.757986269817,131
"24","7","T cell",1997.79800215901,3883
"25","25","Unknown",4.40390193376736,417
"26","5","T cell",3848.43124733807,4679
"27","30","B cell",237.839061091263,128
"28","27","B cell",174.368233846242,148
"29","28","Monocyte",246.795010383191,132
"30","23","Monocyte",2454.53721729747,609
"31","18","EPC",1140.14662769968,930
